Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
BTC,04-08-2015,285.217987,281.225006,285.714996,281.225006
BTC,05-08-2015,281.881989,284.846985,285.501007,281.488007
BTC,06-08-2015,278.576996,281.906006,281.906006,278.403015
BTC,07-08-2015,279.584991,278.740997,280.391998,276.365997
BTC,08-08-2015,260.997009,279.742004,279.928009,260.709991
BTC,09-08-2015,265.083008,261.115997,267.002991,260.467987
BTC,10-08-2015,264.470001,265.477997,267.032013,262.596008
BTC,11-08-2015,270.385986,264.34201,270.385986,264.093994
BTC,12-08-2015,266.376007,270.597992,270.673004,265.468994
BTC,13-08-2015,264.079987,266.183014,266.231995,262.841003
BTC,14-08-2015,265.679993,264.131989,267.466003,261.477997
BTC,15-08-2015,261.550995,265.528992,266.666992,261.29599
BTC,16-08-2015,258.506989,261.865997,262.440002,257.040985
BTC,17-08-2015,257.976013,258.48999,260.505005,257.117004
BTC,18-08-2015,211.078995,257.925995,257.993011,211.078995
BTC,19-08-2015,226.684006,225.671005,237.408997,222.766006
BTC,20-08-2015,235.350006,226.899002,237.365005,226.899002
BTC,21-08-2015,232.569,235.354996,236.432007,231.723999
BTC,22-08-2015,230.389999,232.662003,234.957001,222.703995
BTC,23-08-2015,228.169006,230.376007,232.705002,225.580002
BTC,24-08-2015,210.494995,228.112,228.139008,210.442993
BTC,25-08-2015,221.608994,210.067993,226.320999,199.567001
BTC,26-08-2015,225.830994,222.076004,231.182999,220.203995
BTC,27-08-2015,224.768997,226.050003,228.643005,223.684006
BTC,28-08-2015,231.395996,224.701004,235.218994,220.925995
BTC,29-08-2015,229.779999,231.548996,233.222,227.330002
BTC,30-08-2015,228.761002,229.895004,232.067993,226.246994
BTC,31-08-2015,230.056,229.113998,231.955994,225.914993
BTC,01-09-2015,228.121002,230.255997,231.216003,226.860001
BTC,02-09-2015,229.283997,228.026993,230.576996,226.475006
BTC,03-09-2015,227.182999,229.324005,229.604996,226.667007
BTC,04-09-2015,230.298004,227.214996,230.899994,227.050995
BTC,05-09-2015,235.018997,230.199005,236.143005,229.442993
BTC,06-09-2015,239.839996,234.869995,242.912003,234.681
BTC,07-09-2015,239.847,239.934006,242.106003,238.722
BTC,08-09-2015,243.606995,239.845993,245.781006,239.677994
BTC,09-09-2015,238.167999,243.414993,244.416,237.820999
BTC,10-09-2015,238.477005,238.335999,241.292999,235.791
BTC,11-09-2015,240.106995,238.328995,241.169006,238.328995
BTC,12-09-2015,235.229004,239.854996,240.123993,234.753998
BTC,13-09-2015,230.511993,235.242004,235.934998,229.332001
BTC,14-09-2015,230.643997,230.608994,232.440002,227.960999
BTC,15-09-2015,230.304001,230.492004,259.182007,229.822006
BTC,16-09-2015,229.091003,230.25,231.214996,227.401993
BTC,17-09-2015,229.809998,229.076004,230.285004,228.925995
BTC,18-09-2015,232.975006,233.520996,234.352997,232.184998
BTC,19-09-2015,231.492996,232.858002,233.205002,231.089005
BTC,20-09-2015,231.212006,231.399002,232.365005,230.910004
BTC,21-09-2015,227.085007,231.216995,231.216995,226.520996
BTC,22-09-2015,230.617996,226.968994,232.386002,225.117004
BTC,23-09-2015,230.283005,230.936005,231.835007,229.591003
BTC,24-09-2015,234.529007,230.358002,235.649002,230.294998
BTC,25-09-2015,235.143997,234.362,237.427002,233.684006
BTC,26-09-2015,234.339996,235.076004,235.403,233.358002
BTC,27-09-2015,232.757004,234.139008,234.526001,232.475998
BTC,28-09-2015,239.141998,232.835999,239.339005,232.466995
BTC,29-09-2015,236.686996,239.016006,239.802002,235.927994
BTC,30-09-2015,236.059998,236.639999,237.733994,235.628998
BTC,01-10-2015,237.548996,236.003998,238.445007,235.615997
BTC,02-10-2015,237.292999,237.264008,238.541,236.602997
BTC,03-10-2015,238.729996,237.201996,239.315002,236.944
BTC,04-10-2015,238.259003,238.531006,238.968002,237.940002
BTC,05-10-2015,240.382996,238.147003,240.382996,237.035004
BTC,06-10-2015,246.063004,240.363998,246.934998,240.136002
BTC,07-10-2015,242.968994,246.169998,246.681,242.585007
BTC,08-10-2015,242.304001,243.074997,244.251007,242.179001
BTC,09-10-2015,243.931,242.498001,244.227997,242.121994
BTC,10-10-2015,244.940994,243.740005,245.319,243.074005
BTC,11-10-2015,247.050003,244.742004,247.242996,244.151993
BTC,12-10-2015,245.307999,246.875,247.453995,245.179001
BTC,13-10-2015,249.507996,245.199997,250.235992,243.757004
BTC,14-10-2015,251.988998,249.492996,254.274994,248.903
BTC,15-10-2015,254.320007,252.106995,255.962006,252.046005
BTC,16-10-2015,262.868988,254.296005,266.13501,253.925995
BTC,17-10-2015,270.640015,262.747009,273.578003,262.367004
BTC,18-10-2015,261.643005,270.907013,271.667999,260.777008
BTC,19-10-2015,263.437012,261.860992,264.820007,260.950989
BTC,20-10-2015,269.463013,263.571991,270.834991,263.22699
BTC,21-10-2015,266.272003,269.306,270.769989,263.838989
BTC,22-10-2015,274.02301,266.496002,276.51001,266.13501
BTC,23-10-2015,276.496002,273.648987,278.68399,273.542999
BTC,24-10-2015,281.653992,276.503998,281.705994,276.503998
BTC,25-10-2015,283.679993,281.445007,294.05899,281.445007
BTC,26-10-2015,285.299988,283.627991,285.299988,280.51001
BTC,27-10-2015,293.787994,285.181,296.212006,285.007996
BTC,28-10-2015,304.618011,293.703003,306.330994,293.703003
BTC,29-10-2015,313.855011,304.324005,318.170013,301.822998
BTC,30-10-2015,328.015015,313.942993,334.169006,313.940002
BTC,31-10-2015,314.165985,328.511993,332.777008,309.251007
BTC,01-11-2015,325.431,315.005005,327.471985,311.881012
BTC,02-11-2015,361.188995,325.941986,365.359985,323.209015
BTC,03-11-2015,403.416992,361.872986,417.899994,357.647003
BTC,04-11-2015,411.562988,403.664001,495.562012,380.548004
BTC,05-11-2015,386.354004,408.076996,447.561005,374.580994
BTC,06-11-2015,374.470001,388.046997,395.835999,354.024994
BTC,07-11-2015,386.481995,374.269012,390.585999,372.433014
BTC,08-11-2015,373.368011,384.278015,389.894989,368.700012
